Country,Year,New_cases,New_deaths
Chile,2024,76968.0,630.0
Chile,2025,174.0,14.0
China,2020,96324.0,4777.0
China,2021,34534.0,922.0
China,2022,62314792.0,33296.0
China,2023,36877077.0,82898.0
China,2024,58852.0,498.0
China,2025,182.0,7.0
Colombia,2020,1574707.0,41690.0
Colombia,2021,3543547.0,87996.0
Colombia,2022,1220085.0,12390.0
Colombia,2023,27655.0,651.0
Colombia,2024,28661.0,0.0
Colombia,2025,2487.0,21.0
Comoros,2020,661.0,7.0
Comoros,2021,4942.0,146.0
Comoros,2022,3379.0,7.0
Comoros,2023,127.0,0.0
Comoros,2024,0.0,0.0
Comoros,2025,0.0,0.0
Congo,2020,6389.0,100.0
Congo,2021,13700.0,267.0
Congo,2022,4974.0,19.0
Congo,2023,150.0,3.0
Congo,2024,21.0,0.0
Congo,2025,0.0,0.0
Cook Islands,2020,0.0,0.0
Cook Islands,2021,0.0,0.0
Cook Islands,2022,6625.0,1.0
Cook Islands,2023,578.0,1.0
Cook Islands,2024,172.0,0.0
Cook Islands,2025,0.0,0.0
Costa Rica,2020,164062.0,2103.0
Costa Rica,2021,405461.0,5246.0
Costa Rica,2022,592164.0,1723.0
Costa Rica,2023,68865.0,294.0
Costa Rica,2024,5273.0,8.0
Costa Rica,2025,332.0,0.0
Croatia,2020,204312.0,3613.0
Croatia,2021,488790.0,8666.0
Croatia,2022,568664.0,5236.0
Croatia,2023,47962.0,1172.0
Croatia,2024,43855.0,97.0
Croatia,2025,3107.0,0.0
Cuba,2020,11038.0,141.0
Cuba,2021,953569.0,8179.0
Cuba,2022,147220.0,210.0
Cuba,2023,1767.0,0.0
Cuba,2024,68.0,0.0
Cuba,2025,0.0,0.0
Cura�ao,2020,4051.0,12.0
Cura�ao,2021,14248.0,174.0
Cura�ao,2022,27408.0,113.0
Cura�ao,2023,176.0,6.0
Cura�ao,2024,0.0,0.0
Cura�ao,2025,0.0,0.0
Cyprus,2020,19392.0,114.0
Cyprus,2021,130456.0,523.0
Cyprus,2022,478661.0,618.0
Cyprus,2023,46966.0,109.0
Cyprus,2024,35806.0,0.0
Cyprus,2025,1684.0,0.0
Czechia,2020,675062.0,11367.0
Czechia,2021,1811389.0,24621.0
Czechia,2022,2091075.0,6111.0
Czechia,2023,169097.0,1255.0
Czechia,2024,78714.0,418.0
Czechia,2025,5167.0,36.0
C�te d'Ivoire,2020,22081.0,134.0
C�te d'Ivoire,2021,41766.0,573.0
C�te d'Ivoire,2022,24086.0,123.0
C�te d'Ivoire,2023,451.0,5.0
C�te d'Ivoire,2024,72.0,0.0
C�te d'Ivoire,2025,8.0,0.0
Democratic People's Republic of Korea,2020,0.0,0.0
Democratic People's Republic of Korea,2021,0.0,0.0
Democratic People's Republic of Korea,2022,0.0,0.0
Democratic People's Republic of Korea,2023,0.0,0.0
Democratic People's Republic of Korea,2024,0.0,0.0
Democratic People's Republic of Korea,2025,0.0,0.0
Democratic Republic of the Congo,2020,16837.0,579.0
Democratic Republic of the Congo,2021,58207.0,626.0
Democratic Republic of the Congo,2022,20026.0,257.0
Democratic Republic of the Congo,2023,4268.0,6.0
Democratic Republic of the Congo,2024,1668.0,6.0
Democratic Republic of the Congo,2025,0.0,0.0
Denmark,2020,151167.0,1159.0
Denmark,2021,546396.0,2038.0
Denmark,2022,2684288.0,4515.0
Denmark,2023,50495.0,1781.0
Denmark,2024,13055.0,519.0
Denmark,2025,1803.0,0.0
Djibouti,2020,5805.0,61.0
Djibouti,2021,7763.0,128.0
Djibouti,2022,2122.0,0.0
Djibouti,2023,0.0,0.0
Djibouti,2024,0.0,0.0
Djibouti,2025,0.0,0.0
Dominica,2020,96.0,0.0
Dominica,2021,6463.0,45.0
Dominica,2022,9201.0,29.0
Dominica,2023,287.0,0.0
Dominica,2024,0.0,0.0
Dominica,2025,0.0,0.0
Dominican Republic,2020,165940.0,2404.0
Dominican Republic,2021,247947.0,1833.0
Dominican Republic,2022,244700.0,147.0
Dominican Republic,2023,2516.0,0.0
Dominican Republic,2024,0.0,0.0
Dominican Republic,2025,0.0,0.0
Ecuador,2020,209274.0,13990.0
Ecuador,2021,332094.0,19657.0
Ecuador,2022,499095.0,2287.0
Ecuador,2023,27936.0,90.0
Ecuador,2024,10587.0,32.0
Ecuador,2025,1203.0,0.0
Egypt,2020,131315.0,7352.0
Egypt,2021,249205.0,14219.0
Egypt,2022,134994.0,3231.0
Egypt,2023,509.0,28.0
Egypt,2024,0.0,0.0
Egypt,2025,0.0,0.0
El Salvador,2020,44619.0,1297.0
El Salvador,2021,77122.0,2521.0
El Salvador,2022,80044.0,412.0
El Salvador,2023,51.0,0.0
El Salvador,2024,131.0,0.0
El Salvador,2025,33.0,0.0
Equatorial Guinea,2020,5236.0,86.0
Equatorial Guinea,2021,8394.0,89.0
Equatorial Guinea,2022,3459.0,8.0
Equatorial Guinea,2023,41.0,0.0
Equatorial Guinea,2024,0.0,0.0
Equatorial Guinea,2025,0.0,0.0
Eritrea,2020,997.0,1.0
Eritrea,2021,6876.0,71.0
Eritrea,2022,2316.0,31.0
Eritrea,2023,0.0,0.0
Eritrea,2024,0.0,0.0
Eritrea,2025,0.0,0.0
Estonia,2020,31031.0,284.0
Estonia,2021,195778.0,1544.0
Estonia,2022,367408.0,899.0
Estonia,2023,14364.0,245.0
Estonia,2024,5095.0,128.0
Estonia,2025,790.0,44.0
Eswatini,2020,8365.0,163.0
Eswatini,2021,56016.0,1109.0
Eswatini,2022,9640.0,150.0
Eswatini,2023,1170.0,5.0
Eswatini,2024,165.0,0.0
Eswatini,2025,0.0,0.0
Ethiopia,2020,122413.0,1901.0
Ethiopia,2021,273337.0,4993.0
Ethiopia,2022,101346.0,678.0
Ethiopia,2023,4021.0,2.0
Ethiopia,2024,162.0,0.0
Ethiopia,2025,25.0,0.0
Falkland Islands (Malvinas),2020,29.0,0.0
Falkland Islands (Malvinas),2021,52.0,0.0
Falkland Islands (Malvinas),2022,1842.0,0.0
Falkland Islands (Malvinas),2023,0.0,0.0
Falkland Islands (Malvinas),2024,0.0,0.0
Falkland Islands (Malvinas),2025,0.0,0.0
Faroe Islands,2020,574.0,0.0
Faroe Islands,2021,4576.0,13.0
Faroe Islands,2022,29508.0,15.0
Faroe Islands,2023,0.0,0.0
Faroe Islands,2024,0.0,0.0
Faroe Islands,2025,0.0,0.0
Fiji,2020,46.0,2.0
Fiji,2021,52898.0,695.0
Fiji,2022,15758.0,184.0
Fiji,2023,345.0,4.0
Fiji,2024,0.0,0.0
Fiji,2025,0.0,0.0
Finland,2020,38052.0,618.0
Finland,2021,284783.0,1218.0
Finland,2022,1133314.0,6862.0
Finland,2023,43563.0,2710.0
Finland,2024,0.0,58.0
Finland,2025,0.0,0.0
France,2020,2338258.0,63534.0
France,2021,6371668.0,60631.0
France,2022,29279621.0,37502.0
France,2023,1007943.0,6380.0
France,2024,34394.0,96.0
France,2025,5236.0,19.0
French Guiana,2020,12773.0,71.0
French Guiana,2021,34456.0,266.0
French Guiana,2022,50547.0,76.0
French Guiana,2023,265.0,0.0
French Guiana,2024,0.0,0.0
French Guiana,2025,0.0,0.0
French Polynesia,2020,16550.0,108.0
French Polynesia,2021,29832.0,528.0
French Polynesia,2022,31528.0,13.0
